wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,wallet,token,source
7,0.001,0.001,1.1428571428571428,0.0007503704954321197,0.045022229725927176,1.0805335134222522,79960.5,0xf6bd9afc6bab0b5e2cc861a9bbc546604fa45c4d,usdt,normal
12,0.0010000000000000002,0.001,0.8333333333333334,0.0005629299377399488,0.03377579626439693,0.8106191103455264,106585.2,0x04c795eb8e5d70516ac9a42ae593d3112a34e3e9,usdt,normal
576,3216.4717709565225,18108.719926,0.0798611111111111,5.5394639035285495e-05,0.00332367834211713,0.07976828021081113,1083137.3043478262,0xf02692a0a1c848658f176286a8cbf75010a9090b,usdt,normal
158,81.7214164,129.0,1.0443037974683544,0.0007223396449766313,0.04334037869859787,1.0401690887663488,83063.41818181818,0x6440b70607e5e9d525db2b248ca089e329be9bc3,usdt,normal
569,22458.716909430692,0.0,0.35500878734622143,0.00024631893424381917,0.01477913605462915,0.3546992653110996,243586.63366336634,0xb91fad57cd7adc64cb40d1f0887c12dabeab73d3,usdt,normal
88,9552.693950058823,0.010001,0.38636363636363635,0.0002658896432855827,0.01595337859713496,0.3828810863312391,225657.5294117647,0x42d05cf9db7ff0a8fb8185e5824a0416245b4f65,usdt,normal
26,508.0580365882353,0.0,0.6538461538461539,0.00044042135369979843,0.026425281221987906,0.6342067493277098,136233.17647058822,0xb13755256028a202e952588be1ffb11fcf99355e,usdt,normal
1913,58165.335150369356,55682.074586,0.05802404600104548,4.0291536003010176e-05,0.0024174921601806108,0.058019811844334655,1489146.5045045046,0xf3edb4e3d23938379fe51a341029552ee0d225bb,usdt,normal
0,1872727.2727272727,2300000.0,11.0,0.9028727770177838,54.172366621067034,1300.1367989056089,66.45454545454545,0x60abdc71c1d7c34fadaaa799ad1d100ac52ed84f,usdt,normal
16,376.58,1129.74,0.375,0.00025871213101182316,0.01552272786070939,0.3725454686570253,231918.0,0x7032d56353de0aada856ff50c6341decbed009e9,usdt,normal
184,66.54505555555556,64.15,0.09782608695652174,6.781883329000463e-05,0.004069129997400278,0.09765911993760668,884710.0,0xaa3d91762429e08839c881eed1aa23c427ad95d3,usdt,normal
46,0.0010000000000000005,0.001,5.260869565217392,0.0035874173559844644,0.21524504135906788,5.165880992617629,16725.12396694215,0x8b827ee5a0fe60d73064f82261e53ca26b78df52,usdt,normal
662,425.21000000000004,785.0,0.01812688821752266,1.257242502591491e-05,0.0007543455015548946,0.018104292037317473,4772349.0,0x4ddcf939f8bc4a4898430a53a4956e781951787d,usdt,normal
20,578181.8181818182,180000.0,0.55,0.0003669259610124488,0.022015557660746927,0.5283733838579263,163520.72727272726,0x5e79c0c34c59053bec486e55215dfe4311b9389a,usdt,normal
96,36.942981446280996,30.08,2.5208333333333335,0.0017422907235258205,0.10453744341154923,2.5088986418771815,34437.42148760331,0x91d954d36530c7c7e40d48abf1f68d779e1255cf,usdt,normal
1118,9102.4917572,1e-05,0.22808586762075134,0.00015832591271163363,0.009499554762698018,0.22798931430475242,378965.12941176473,0x9912e7cdf45996e24388bc5e4ab3c88cc88c48a4,usdt,normal
